Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	Deletion_Reason
Almeerder	adjectief	2.0	6154	6156	van Almere	van, uit, in Almere	Full definition shorter than short
als dank	verbinding	1.0	902368	902369	als bedanking	om te bedanken	Full definition shorter than short
als een natte krant	verbinding	1.0	906127	906128	futloos	erg slecht	Full definition shorter than short
als een tang op een varken slaan	verbinding	1.0	916815	916817	volstrekt niets te maken hebben met iets	geen enkel zinnig verband hebben met iets	Full definition shorter than short
als een weeskind behandelen	verbinding	1.0	900759	900762	verwaarlozen	slecht behandelen	Full definition shorter than short
als haringen in een ton	verbinding	1.0	896771	896772	dicht tegen elkaar staand	met te veel personen in een kleine ruimte	Full definition shorter than short
als het ei breekt, zal het stinken	verbinding	1.0	911987	911988	als de vriendschap wordt verbroken, zullen er veel verwijten zijn	als de relatie verbroken wordt, komt er veel onaangenaams aan het licht	Full definition shorter than short
als het ware	bijwoord	1.0	365116	962926	in figuurlijke zin	bij wijze van spreken	Full definition shorter than short
als kut op Dirk rijmen	verbinding	1.0	906520	906523	volstrekt niets te maken hebben met iets	geen enkel zinnig verband hebben met iets	Full definition shorter than short
als kut op Dirk slaan	verbinding	1.0	906521	906524	volstrekt niets te maken hebben met iets	geen enkel zinnig verband hebben met iets	Full definition shorter than short
als sardines in een blik	verbinding	1.0	921459	921460	dicht tegen elkaar staand	met te veel personen in een kleine ruimte	Full definition shorter than short
als sprinkhanen uitzwermen	verbinding	1.0	924124	924130	zich massaal verspreiden	ergens in zeer groten getale heentrekken	Full definition shorter than short
als water van een eend afglijden	verbinding	1.0	896591	896592	iemand of iets geheel onberoerd laten	volstrekt geen invloed op iemand of iets hebben	Full definition shorter than short
als zilvervisjes	verbinding	1.0	918018	918019	alle kanten opgaand	snel heen en weer schietend	Full definition shorter than short
alsmede	voegwoord	1.0	6223	6224	alsook	zoals ook	Full definition shorter than short
alsof er een bom was ingeslagen	verbinding	1.0	905404	905405	een enorme rommel	een grote puinhoop	Full definition shorter than short
alsook	voegwoord	1.0	6229	6230	alsmede	zoals ook	Full definition shorter than short
aluhoedje	substantief	1.0	620654	626253	aluminium hoedje	hoedje van aluminiumfolie	Full definition shorter than short
alwaar	bijwoord	1.0	6334	6335	op welke plaats	op de plaats die eerder genoemd is	Full definition shorter than short
Ambonees	adjectief	1.0	6568	6570	van de Ambonezen	van, uit, in Ambon	Full definition shorter than short
Amelander	adjectief	2.0	6748	6750	van Ameland	van, uit, in Ameland	Full definition shorter than short
Amerikaanse notelaar	verbinding	1.0	901975	901976	hickory (Carya)	Amerikaanse notenboom	Full definition shorter than short
Amerikaanse notelaar	verbinding	2.0	901975	901977	hickory	hout van de Amerikaanse notenboom	Full definition shorter than short
amethist	substantief	3.0	6794	6797	violet	de kleur van amethist	Full definition shorter than short
amice	substantief	1.0	6824	6825	vriend	bevriende collega	Full definition shorter than short
ammenooitniet	tussenwerpsel	1.0	979487	979488	bekijk het maar	nooit van mijn leven	Full definition shorter than short
ananas	substantief	1.3	7095	487310	ananassmaak	smaak van ananassen	Full definition shorter than short
ananas	substantief	1.4	7095	487303	ananasgeur	geur van ananassen	Full definition shorter than short
anatoom	substantief	1.0	7111	7112	anatomiespecialist	specialist in de anatomie	Full definition shorter than short
andere koek	verbinding	1.0	900422	900423	heel wat anders	iets heel anders	Full definition shorter than short
Andorrees	adjectief	1.0	7185	7187	van Andorra	van, uit, in Andorra	Full definition shorter than short
Angolees	adjectief	1.0	7258	7260	van Angola	van, uit, in Angola	Full definition shorter than short
angstig	adjectief	1.0	7282	7283	angst voelend	in angst verkerend	Full definition shorter than short
anker	substantief	1.1	7408	313736	afbeelding van een anker	voorstelling van een anker	Full definition shorter than short
ankeren	werkwoord	4.0	7411	568348	(figuurlijk) wortelen in	(figuurlijk) teruggaan op	Full definition shorter than short
ankeren	werkwoord	5.0	7411	568349	combineren met	(figuurlijk) koppelen aan	Full definition shorter than short
Anschluss	substantief	2.0	7512	934595	contact	aansluiting	Full definition shorter than short
appelsienschil	substantief	1.0	203529	203540	sinaasappelschil	schil van een sinaasappel	Full definition shorter than short
Appingedammer	adjectief	2.0	8340	8342	van Appingedam	van, uit, in Appingedam	Full definition shorter than short
apport	tussenwerpsel	1.0	8370	979493	haal	breng hier	Full definition shorter than short
apporte	tussenwerpsel	1.0	980627	980628	haal	breng hier	Full definition shorter than short
arbeidsplicht	substantief	2.0	8731	209931	plicht van een werknemer	plicht van iemand die werkt	Full definition shorter than short
arbeidsuur	substantief	1.0	8776	8777	uur waarin men werkt	uur bestemd voor arbeid	Full definition shorter than short
Ardenner	adjectief	4.0	9026	9030	van de Ardennen	van, uit, in de Ardennen	Full definition shorter than short
Argentijns	adjectief	1.0	9092	9093	kenmerkend voor Argentinië	van, uit, in Argentinië e.d.	Full definition shorter than short
asap	bijwoord	1.0	949045	949046	as soon as possible	as soon as possible (zo spoedig mogelijk)	Full definition shorter than short
asbak	substantief	1.1	9548	309643	zware roker	iemand die veel rookt	Full definition shorter than short
asieltsunami	substantief	1.0	609600	609601	overweldigende stroom aan asielzoekers	overweldigende hoeveelheid asielzoekers	Full definition shorter than short
astmalijder	substantief	1.0	440854	501228	astmapatiënt	iemand die aan astma lijdt	Full definition shorter than short
astmapatiënt	substantief	1.0	9952	9953	patiënt met astma	iemand die aan astma lijdt	Full definition shorter than short
Atjehs	adjectief	1.0	421306	567063	van de Atjehers	van, uit, in Atjeh e.d.	Full definition shorter than short
automobilist	substantief	1.0	10763	10764	bestuurder van een auto	iemand die een auto bestuurt	Full definition shorter than short
baanvast	adjectief	1.0	365147	556584	met een goede wegligging	met een goede wegligging stabiel	Full definition shorter than short
bacovewinkel	substantief	1.0	380728	380730	warwinkel	onoverzichtelijke, chaotische toestand	Full definition shorter than short
bagagedief	substantief	1.0	12008	604000	dief van bagage	iemand die bagage steelt	Full definition shorter than short
Balinees	adjectief	1.0	12283	12287	van de Balinezen	van, uit, in Bali	Full definition shorter than short
bang	adjectief	A.1.0	12662	12663	angst voelend	in angst verkerend	Full definition shorter than short
bankloper	substantief	1.0	12765	12766	geldloper	iemand die voor zijn beroep geld vervoert	Full definition shorter than short
bariumsulfaat	substantief	1.0	190857	190861	bariet	zwavelzuur zout van barium	Full definition shorter than short
barokschilder	substantief	1.1	393313	604042	barokschilderij	schilderij van een barokschilder	Full definition shorter than short
bebrild	adjectief	1.0	13732	13733	brildragend met een tekening voorzien van een bril	voorzien van een bril voorzien van een getekende bril	Full definition shorter than short
